program_id,program_name,credential,study_mode,school_domain,shape,status,adapter_classification,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
680LASCERT,Critical Care Nursing Specialty (Combined Critical Care/Emergency Option),Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,421,2bfd81671772f4e1918a60939643fe8b722f67760093e8a1ebd9b9a47d201c56,True,[],[],https://www.bcit.ca/programs/critical-care-nursing-specialty-combined-critical-care-emergency-option-advanced-certificate-part-time-680lascert/
680MASCERT,Nephrology Nursing Specialty,Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,422,5b7de2dbf6c19879b72fc141baed0accba559a94c06dfd46331503130f4eb49a,True,[],[],https://www.bcit.ca/programs/nephrology-nursing-specialty-advanced-certificate-part-time-680mascert/
680SASCERT,Emergency Nursing Specialty (Combined Emergency/Critical Care Option),Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,423,d9240e9f0730ac7aab508894a9cd15e0b2b65c641d05e7d6775955c5ca5b4022,True,[],[],https://www.bcit.ca/programs/emergency-nursing-specialty-combined-emergency-critical-care-option-advanced-certificate-part-time-680sascert/
680WASCERT,High Acuity Nursing Specialty,Advanced Certificate,Part-time,School of Health Sciences,"advanced certificate with published alternatives or pathways, clinical placement",YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,424,5a2966a5c52d6226a63ccbb17639d31f2e4f2817e73a5c52f60f6459c603660b,True,[],[],https://www.bcit.ca/programs/high-acuity-nursing-specialty-advanced-certificate-part-time-680wascert/
680XADCERT,Critical Care Nursing Specialty,Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,425,d027b7101b4454bd0c9c85db17b138d3a5c956f2f2223f3cb5d6541d2172adf7,True,[],[],https://www.bcit.ca/programs/critical-care-nursing-specialty-advanced-certificate-part-time-680xadcert/
681BADCERT,Pediatric Nursing Specialty (Anesthesia Care Option),Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,2,2,active,426,511797f82aeb18d3506319fe1f7a783339e5ee2d103f000d862a6f8127df9dba,True,[],[],https://www.bcit.ca/programs/pediatric-nursing-specialty-anesthesia-care-option-advanced-certificate-part-time-681badcert/
6957ACERT,Applied Web Development,Associate Certificate,Part-time,School of Computing and Academic Studies,"associate certificate with published alternatives or pathways, credit pool",YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,427,086044fbaa6e10e8f82f155cc07227d98eb3c9a552657eb526869c48d7d5354b,True,[],[],https://www.bcit.ca/programs/applied-web-development-associate-certificate-part-time-6957acert/
6998CERT,Office Administrator with Technology Program (OAT),Certificate,Full-time,School of Computing and Academic Studies,certificate with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,5,5,active,428,fb054884f7b9d92dc456157239f60bd5c37f508c774c4c277ebb30a3e8babacb,True,[],[],https://www.bcit.ca/programs/office-administrator-with-technology-program-oat-certificate-full-time-6998cert/
7160ADVDIP,Diagnostic Medical Sonography – Cardiac,Advanced Diploma,Full-time,School of Health Sciences,advanced diploma with clinical placement,GREEN,none,10,10,active,429,166005c9fe2af7d61cae6943d6f72ff0f207b340ca93326cfa29061b4f0969e4,True,[],[],https://www.bcit.ca/programs/diagnostic-medical-sonography-cardiac-advanced-diploma-full-time-7160advdip/
7880ACERT,Construction Operations,Associate Certificate,Part-time,School of Construction and the Environment,associate certificate with flat published curriculum,GREEN,none,0,0,active,430,d14ec0cdfc205851092f3b478d66103288c0b290e3ac78c239c486d32cab42d4,True,[],[],https://www.bcit.ca/programs/construction-operations-associate-certificate-part-time-7880acert/
7950ASCERT,Magnetic Resonance Imaging,Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,431,dbe0226b4b7c0baf4dcb5daa057631e6cf7ce301814a90d646cac55fc76df552,True,[],[],https://www.bcit.ca/programs/magnetic-resonance-imaging-advanced-certificate-part-time-7950ascert/
8350BTECH,Technology Management,Bachelor of Technology,Part-time,School of Transportation,bachelor of technology with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter plus reusable published component-credit fallback,4,4,active,432,7ca1eb7f2933884ce596c920eb6922dd8438b2e5ab2ac211c9d816b3658ef73e,True,[],[],https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/
847ABTECH,Forensic Investigation (Crime and Intelligence Analysis Option),Bachelor of Technology,Part-time,School of Computing and Academic Studies,"bachelor of technology with published alternatives or pathways, credit pool",YELLOW,existing Batch 01 connector/pathway adapter plus deterministic unique rule-name normalization,7,7,active,433,1175e749b766f522a2f7a10a01d4208bcd5ea42e58b3980fca85287860e2867f,True,[],[],https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-bachelor-of-technology-part-time-847abtech/
847BBTECH,Forensic Investigation (Forensic Science Option),Bachelor of Technology,Part-time,School of Computing and Academic Studies,"bachelor of technology with published alternatives or pathways, credit pool, non-course component",YELLOW,existing Batch 01 connector/pathway adapter plus deterministic unique rule-name normalization,16,16,active,434,fcb825628e6b7e7c89a5d899fa7127fd8522354a27cdc55d9024a0440fb18503,True,"[""duplicate course reference normalized during import: FSCT8340"", ""duplicate course reference normalized during import: FSCT8110"", ""duplicate course reference normalized during import: FSCT8140"", ""duplicate course reference normalized during import: FSCT8320""]",[],https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-bachelor-of-technology-part-time-847bbtech/
847CBTECH,Forensic Investigation (Digital Forensics and Cybersecurity Option),Bachelor of Technology,Full-time/Part-time,School of Computing and Academic Studies,bachelor of technology with flat published curriculum,GREEN,none,10,10,active,435,41c2d54f8df54293934edf8d970625d0bb4d3ea131b330c026453e6e67e95b76,True,[],[],https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-bachelor-of-technology-full-time-part-time-847cbtech/
8610BENG,Mining and Mineral Resource Engineering,Bachelor of Engineering,Full-time,School of Construction and the Environment,"bachelor of engineering with published alternatives or pathways, credit pool, non-course component",YELLOW,existing Batch 01 connector/pathway adapter; no new code,55,55,active,436,51223f49cf67c978f8a933d922af7b0c0d7f29f83cd7b8044afc1a0bb4f5167c,True,[],[],https://www.bcit.ca/programs/mining-and-mineral-resource-engineering-bachelor-of-engineering-full-time-8610beng/
867ABSC,Applied Computer Science (Games Development Option),Bachelor of Science,Full-time,School of Computing and Academic Studies,bachelor of science with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,5,5,active,437,94f6de6ff0d75056bc16bd43e2f94c68a751a27c5f48a27a032c63f3daf45c07,True,[],[],https://www.bcit.ca/programs/applied-computer-science-games-development-option-bachelor-of-science-full-time-867absc/
8830BID,Interior Design,Bachelor of Interior Design,Full-time,School of Construction and the Environment,"bachelor of interior design with published alternatives or pathways, credit pool, non-course component",YELLOW,existing Batch 01 connector/pathway adapter; no new code,14,14,active,438,1684ccc57892ce18c45208640b7606ce102d72f692943e3bbea0ba49029fdf37,True,[],[],https://www.bcit.ca/programs/interior-design-bachelor-of-interior-design-full-time-8830bid/
9100FADVDIP,Geographic Information Systems,Advanced Diploma,Full-time,School of Construction and the Environment,advanced diploma with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,1,1,active,439,4809c862d03c0275ca28cb09ed0993a639add8f5eccc5036530f888bc9a0a514,True,[],[],https://www.bcit.ca/programs/geographic-information-systems-advanced-diploma-full-time-9100fadvdip/
9100PADVDIP,Geographic Information Systems,Advanced Diploma,Part-time,School of Construction and the Environment,advanced diploma with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,2,2,active,440,9933ed5f0fc0d5a693eb4eba6f109ee45a793d3bb4fef98688c41462906788dd,True,[],[],https://www.bcit.ca/programs/geographic-information-systems-advanced-diploma-part-time-9100padvdip/
