program_id,program_name,classification,structured_value,legacy_boolean,source_url
5515ACERT,Applied Network Administration and Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-network-administration-and-design-associate-certificate-part-time-5515acert/
5530ACERT,Agile Development,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/
5540DIPMA,Computer Information Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/computer-information-technology-diploma-full-time-5540dipma/
5570ACERT,Computer Aided Design (CAD) Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/computer-aided-design-cad-technology-associate-certificate-part-time-5570acert/
5670ADVDIP,Clinical Genetics Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/clinical-genetics-technology-advanced-diploma-full-time-5670advdip/
5725ACERT,Computerized Accounting,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/computerized-accounting-associate-certificate-part-time-5725acert/
5755ACERT,Occupational Health and Safety Practitioners,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/occupational-health-and-safety-practitioners-associate-certificate-part-time-5755acert/
576ADIPMA,Diagnostic Medical Sonography (General Sonography Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/diagnostic-medical-sonography-general-sonography-option-diploma-full-time-576adipma/
576BDIPMA,Diagnostic Medical Sonography (Cardiac Sonography Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/diagnostic-medical-sonography-cardiac-sonography-option-diploma-full-time-576bdipma/
576CDIPMA,Diagnostic Medical Sonography (General and Cardiac Sonography Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/diagnostic-medical-sonography-general-and-cardiac-sonography-option-diploma-full-time-576cdipma/
5810DIPMA,Electroneurophysiology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/electroneurophysiology-diploma-full-time-5810dipma/
585CMCERT,Financial Management (Finance Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/financial-management-finance-option-certificate-part-time-585cmcert/
585FMCERT,Financial Management (Professional Accounting Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/financial-management-professional-accounting-option-certificate-part-time-585fmcert/
585IACERT,Financial Management (Financial Planning),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/financial-management-financial-planning-associate-certificate-part-time-585iacert/
5880DIPLT,General Insurance and Risk Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/general-insurance-and-risk-management-diploma-full-time-5880diplt/
5985ACERT,User Interface (UI) and User Experience (UX) Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/user-interface-ui-and-user-experience-ux-design-associate-certificate-part-time-5985acert/
6005ACERT,Payroll and Human Resources,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/payroll-and-human-resources-associate-certificate-part-time-6005acert/
6008CERT,Payroll Administration,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/payroll-administration-certificate-part-time-6008cert/
6030CERT,Architectural and Building Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/architectural-and-building-technology-certificate-part-time-6030cert/
6035DIPMA,Accounting,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/accounting-diploma-full-time-6035dipma/
6035PDIPMA,Accounting,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/accounting-diploma-part-time-6035pdipma/
6040ACERT,Fundamentals of Water and Wastewater Operations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fundamentals-of-water-and-wastewater-operations-associate-certificate-part-time-6040acert/
6045DIPMA,Finance,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/finance-diploma-full-time-6045dipma/
6045PDIPMA,Finance,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/finance-diploma-part-time-6045pdipma/
6055DIPMA,Financial Planning,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/financial-planning-diploma-full-time-6055dipma/
6055PDIPMA,Financial Planning,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/financial-planning-diploma-part-time-6055pdipma/
605DDIPMA,Technology Teacher Education,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/technology-teacher-education-diploma-full-time-605ddipma/
6090CERT,"Essential Technical Skills for Architecture, Construction, and Engineering",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/essential-technical-skills-for-architecture-construction-and-engineering-certificate-part-time-6090cert/
6110DIPMA,Radio Arts and Entertainment,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/radio-arts-and-entertainment-diploma-full-time-6110dipma/
6115ACERT,Broadcast and Digital Journalism,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/broadcast-and-digital-journalism-associate-certificate-part-time-6115acert/
6120ACERT,Video Production and Editing,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/video-production-and-editing-associate-certificate-part-time-6120acert/
6125ACERT,Radio Arts and Entertainment,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/radio-arts-and-entertainment-associate-certificate-part-time-6125acert/
6130DIPMA,Television & Video Production,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/television-video-production-diploma-full-time-6130dipma/
6135DIPMA,Broadcast and Online Journalism,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/broadcast-and-online-journalism-diploma-full-time-6135dipma/
6140DIPMA,Residential Interiors,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/residential-interiors-diploma-part-time-6140dipma/
6185ADCERT,Renewable Energy Electrical Systems Installation & Maintenance,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/renewable-energy-electrical-systems-installation-and-maintenance-advanced-certificate-part-time-6185adcert/
6195CERT,Interior Design Fundamentals,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/interior-design-fundamentals-certificate-full-time-part-time-6195cert/
6220FDIPMA,Interior Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/interior-design-diploma-full-time-6220fdipma/
6220PDIPMA,Interior Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/interior-design-diploma-part-time-6220pdipma/
6225ACERT,Global Business Studies,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/global-business-studies-associate-certificate-part-time-6225acert/
6235DIPMA,Business Information Technology Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-information-technology-management-diploma-full-time-6235dipma/
623ADIPMA,Business Information Technology Management (Artificial Intelligence Management Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-information-technology-management-artificial-intelligence-management-option-diploma-full-time-623adipma/
623BDIPMA,Business Information Technology Management (Enterprise Systems Management Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-information-technology-management-enterprise-systems-management-option-diploma-full-time-623bdipma/
623CDIPMA,Business Information Technology Management (Analytics Data Management Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-information-technology-management-analytics-data-management-option-diploma-full-time-623cdipma/
6245DIPLT,Business Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-management-diploma-full-time-6245diplt/
6245MCERT,Business Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-management-certificate-part-time-6245mcert/
6247DIPMA,Graphic Communications,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/graphic-communications-diploma-full-time-6247dipma/
625AMCERT,Human Resource Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/human-resource-management-certificate-part-time-625amcert/
6265ACERT,Lean Six Sigma Principles,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/lean-six-sigma-principles-associate-certificate-part-time-6265acert/
6285CERT,Fire Service Industry Leadership,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fire-service-industry-leadership-certificate-part-time-6285cert/
6290DIPMA,Strategic Human Resources Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/strategic-human-resources-management-diploma-full-time-6290dipma/
6300MCERT,Marketing Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-certificate-part-time-6300mcert/
630DACERT,Marketing Management - Marketing Communications,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-marketing-communications-associate-certificate-part-time-630dacert/
630DMCERT,Marketing Management (Marketing Communications Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-marketing-communications-option-certificate-part-time-630dmcert/
630HACERT,Marketing Management - Entrepreneurship,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-entrepreneurship-associate-certificate-part-time-630hacert/
630MACERT,Marketing Management - Sales Skills,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-sales-skills-associate-certificate-part-time-630macert/
630PMCERT,Media Techniques and Marketing Communications,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/media-techniques-and-marketing-communications-certificate-part-time-630pmcert/
630VMCERT,Marketing Management (Professional Sales Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-professional-sales-option-certificate-part-time-630vmcert/
630WACERT,Marketing Management - Customer Relationship Marketing,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-customer-relationship-marketing-associate-certificate-part-time-630wacert/
630XACERT,Marketing Management - Public Relations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-public-relations-associate-certificate-part-time-630xacert/
6310ACERT,Nonprofit Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/nonprofit-management-associate-certificate-part-time-6310acert/
6315ACERT,Event Marketing and Planning Foundations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/
635CDIPLT,Mechanical Engineering Technology (Mechanical Systems Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mechanical-engineering-technology-mechanical-systems-option-diploma-full-time-635cdiplt/
635DDIPLT,Mechanical Engineering Technology (Mechanical Design Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mechanical-engineering-technology-mechanical-design-option-diploma-full-time-635ddiplt/
635EDIPLT,Mechanical Engineering Technology (Mechanical Manufacturing Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mechanical-engineering-technology-mechanical-manufacturing-option-diploma-full-time-635ediplt/
6365ACERT,Food Safety,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/food-safety-associate-certificate-part-time-6365acert/
6375ACERT,Digital Marketing Foundations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/digital-marketing-foundations-associate-certificate-part-time-6375acert/
6385ACERT,Digital Marketing Strategy,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/digital-marketing-strategy-associate-certificate-part-time-6385acert/
6390ACERT,Marketing Management - Fundraising Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-fundraising-management-associate-certificate-part-time-6390acert/
6422DIPMA,Marketing Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-diploma-full-time-6422dipma/
6425ACERT,Technical Writing,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/technical-writing-associate-certificate-part-time-6425acert/
642ADIPMA,Marketing Management (Digital Marketing and Brand Strategy Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-digital-marketing-and-brand-strategy-option-diploma-full-time-642adipma/
642BDIPMA,Marketing Management (Professional Sales Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-professional-sales-option-diploma-full-time-642bdipma/
642CDIPMA,Marketing Management (Entrepreneurship Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-entrepreneurship-option-diploma-full-time-642cdipma/
642DDIPMA,Marketing Management (Professional Real Estate Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-professional-real-estate-option-diploma-full-time-642ddipma/
642EDIPMA,Marketing Management (Tourism Marketing and Sales Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marketing-management-tourism-marketing-and-sales-option-diploma-full-time-642edipma/
6450MCERT,Media Techniques for Business,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/media-techniques-for-business-certificate-part-time-6450mcert/
6465ACERT,Web and Mobile Application Development,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/web-and-mobile-application-development-associate-certificate-part-time-6465acert/
6505ACERT,Graphic Design Foundations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/graphic-design-foundations-associate-certificate-part-time-6505acert/
6515DIPMA,Digital Design and Development,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/digital-design-and-development-diploma-full-time-6515dipma/
6525DIPMA,New Media Design and Web Development,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/new-media-design-and-web-development-diploma-full-time-6525dipma/
6530CERT,Construction Estimating,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/construction-estimating-certificate-part-time-6530cert/
6535CERT,Front-End Web Developer,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/front-end-web-developer-certificate-full-time-6535cert/
6575DIPMA,"3D Modeling, Art and Animation",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/3d-modeling-art-and-animation-diploma-full-time-6575dipma/
6585CERT,Graphic Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/graphic-design-certificate-full-time-part-time-6585cert/
6590ACERT,Tourism and Hospitality,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/tourism-and-hospitality-associate-certificate-part-time-6590acert/
6595DIPMA,Graphic Design and Interactive Media,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/graphic-design-and-interactive-media-diploma-part-time-6595dipma/
6615DIPMA,Medical Laboratory Science,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/medical-laboratory-science-diploma-full-time-6615dipma/
6630ACERT,Medical Office Assistant,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/medical-office-assistant-associate-certificate-part-time-6630acert/
6635DIPMA,Medical Radiography,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/medical-radiography-diploma-full-time-6635dipma/
6640DIPMA,Mineral Exploration and Mining Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mineral-exploration-and-mining-technology-diploma-full-time-6640dipma/
6645ADCERT,Bridging Medical Radiography,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/bridging-medical-radiography-advanced-certificate-part-time-6645adcert/
6705DIPMA,Nuclear Medicine,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/nuclear-medicine-diploma-full-time-6705dipma/
675FACERT,Fire Protection Inspection and Testing,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fire-protection-inspection-and-testing-associate-certificate-part-time-675facert/
6760ACERT,Mechanical Systems,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mechanical-systems-associate-certificate-part-time-6760acert/
680BASCERT,Pediatric Nursing Specialty (Standard Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/pediatric-nursing-specialty-standard-option-advanced-certificate-part-time-680bascert/
680CASCERT,Perinatal Nursing Specialty (Standard Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/perinatal-nursing-specialty-standard-option-advanced-certificate-part-time-680cascert/
680EASCERT,Emergency Nursing Specialty (Standard Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/emergency-nursing-specialty-standard-option-advanced-certificate-part-time-680eascert/
680FASCERT,Neonatal Nursing Specialty,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/neonatal-nursing-specialty-advanced-certificate-part-time-680fascert/
680LASCERT,Critical Care Nursing Specialty (Combined Critical Care/Emergency Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/critical-care-nursing-specialty-combined-critical-care-emergency-option-advanced-certificate-part-time-680lascert/
680MASCERT,Nephrology Nursing Specialty,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/nephrology-nursing-specialty-advanced-certificate-part-time-680mascert/
680PASCERT,Perioperative Nursing Specialty,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/perioperative-nursing-specialty-advanced-certificate-part-time-680pascert/
680SASCERT,Emergency Nursing Specialty (Combined Emergency/Critical Care Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/emergency-nursing-specialty-combined-emergency-critical-care-option-advanced-certificate-part-time-680sascert/
680VASCERT,Perinatal Nursing Specialty (Perinatal - Perioperative Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/perinatal-nursing-specialty-perinatal-perioperative-option-advanced-certificate-part-time-680vascert/
680WASCERT,High Acuity Nursing Specialty,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/high-acuity-nursing-specialty-advanced-certificate-part-time-680wascert/
680XADCERT,Critical Care Nursing Specialty,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/critical-care-nursing-specialty-advanced-certificate-part-time-680xadcert/
680YADCERT,Emergency Nursing Specialty (Pediatric Emergency Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/emergency-nursing-specialty-pediatric-emergency-option-advanced-certificate-part-time-680yadcert/
680ZADCERT,Pediatric Nursing Specialty (Critical Care Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/pediatric-nursing-specialty-critical-care-option-advanced-certificate-part-time-680zadcert/
681BADCERT,Pediatric Nursing Specialty (Anesthesia Care Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/pediatric-nursing-specialty-anesthesia-care-option-advanced-certificate-part-time-681badcert/
6820ASCERT,Cardiovascular Perfusion,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cardiovascular-perfusion-advanced-certificate-part-time-6820ascert/
6830ACERT,Leadership,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/leadership-associate-certificate-part-time-6830acert/
6835ADCERT,Pediatric Emergency Nursing Specialty,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/pediatric-emergency-nursing-specialty-advanced-certificate-part-time-6835adcert/
6850DIPLT,Occupational Health and Safety,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/occupational-health-and-safety-diploma-full-time-6850diplt/
6860ADCERT,Health Leadership,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/health-leadership-advanced-certificate-part-time-6860adcert/
6890CERT,Advanced Safety Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/advanced-safety-management-certificate-part-time-6890cert/
690AMCERT,Operations Management (Industrial Engineering Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/operations-management-industrial-engineering-option-certificate-part-time-690amcert/
690BMCERT,Operations Management (Management Engineering Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/operations-management-management-engineering-option-certificate-part-time-690bmcert/
690DMCERT,Operations Management (Materials Management Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/operations-management-materials-management-option-certificate-part-time-690dmcert/
690FMCERT,Operations Management (Facilities Management Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/operations-management-facilities-management-option-certificate-part-time-690fmcert/
6915DIPMA,Operations & Management Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/operations-and-management-engineering-diploma-full-time-6915dipma/
6945CERT,Quality and Process Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/quality-and-process-management-certificate-part-time-6945cert/
6957ACERT,Applied Web Development,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-web-development-associate-certificate-part-time-6957acert/
6958ACERT,Applied Software Development (ASD),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-software-development-asd-associate-certificate-part-time-6958acert/
6992ACERT,Applied Computer Information Systems (ACIS),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/
6994ACERT,Applied Database Administration and Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-database-administration-and-design-associate-certificate-part-time-6994acert/
6998CERT,Office Administrator with Technology Program (OAT),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/office-administrator-with-technology-program-oat-certificate-full-time-6998cert/
703ADIPMA,Business Administration (General Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-administration-general-option-diploma-part-time-703adipma/
703BDIPMA,Business Administration (Global Studies Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-administration-global-studies-option-diploma-part-time-703bdipma/
703CDIPMA,Business Administration (Human Resources Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-administration-human-resources-option-diploma-part-time-703cdipma/
703DDIPMA,Business Administration (Management Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-administration-management-option-diploma-part-time-703ddipma/
703EDIPMA,Business Administration (Marketing Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-administration-marketing-option-diploma-part-time-703edipma/
7100DIPLT,Prosthetics and Orthotics,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/prosthetics-and-orthotics-diploma-full-time-7100diplt/
7110CERT,Technology Support Professional (TSP),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/technology-support-professional-tsp-certificate-full-time-7110cert/
7140DIPMA,Architectural and Building Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/architectural-and-building-technology-diploma-full-time-7140dipma/
7160ADVDIP,Diagnostic Medical Sonography – Cardiac,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/diagnostic-medical-sonography-cardiac-advanced-diploma-full-time-7160advdip/
7340DIPLT,Mechatronics and Robotics,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mechatronics-and-robotics-diploma-full-time-7340diplt/
7460MCERT,International Trade and Transportation Logistics,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/international-trade-and-transportation-logistics-certificate-part-time-7460mcert/
7475DIPMA,Global Supply Chain Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/global-supply-chain-management-diploma-full-time-7475dipma/
7485DIPMA,Forest and Natural Areas Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forest-and-natural-areas-management-diploma-full-time-7485dipma/
7535DIPMA,Geomatics Engineering Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/geomatics-engineering-technology-diploma-full-time-7535dipma/
7610ACERT,Human Resource Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/human-resource-management-associate-certificate-part-time-7610acert/
7710DIPMA,Construction Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/construction-management-diploma-part-time-7710dipma/
7870CERT,Construction Supervision,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/construction-supervision-certificate-part-time-7870cert/
7880ACERT,Construction Operations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/construction-operations-associate-certificate-part-time-7880acert/
7935DIPMA,"Fish, Wildlife and Recreation",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fish-wildlife-and-recreation-diploma-full-time-7935dipma/
7950ASCERT,Magnetic Resonance Imaging,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/magnetic-resonance-imaging-advanced-certificate-part-time-7950ascert/
7975DIPMA,Magnetic Resonance Imaging,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/magnetic-resonance-imaging-diploma-full-time-7975dipma/
7985ACERT,Business Fundamentals,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-fundamentals-associate-certificate-full-time-7985acert/
8020BENG,Mechanical Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mechanical-engineering-bachelor-of-engineering-full-time-8020beng/
8030BENG,Electrical Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/electrical-engineering-bachelor-of-engineering-full-time-8030beng/
8040BSC,Ecological Restoration,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/ecological-restoration-bachelor-of-science-full-time-part-time-8040bsc/
8050BTECH,Architectural Science,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/architectural-science-bachelor-of-architectural-science-full-time-8050btech/
810ABSN,"Specialty Nursing (Critical Care - Standard Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810BBSN,"Specialty Nursing (Emergency - Standard Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810CBSN,"Specialty Nursing (Neonatal), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810DBSN,"Specialty Nursing (Nephrology), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810FBSN,"Specialty Nursing (Pediatric - Standard Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810GBSN,"Specialty Nursing (Perinatal - Standard Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810HBSN,"Specialty Nursing (Perioperative), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810KBSN,"Specialty Nursing (Critical Care - Combined Critical Care/Emergency Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810MBSN,"Specialty Nursing (High Acuity), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810NBSN,"Specialty Nursing (Emergency - Combined Emergency/Critical Care Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810QBSN,"Specialty Nursing (Pediatric - Critical Care Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
810SBSN,"Specialty Nursing (Perinatal - Perioperative Option), Bachelor of Science in Nursing, Part-time",unknown/not published,,True,
8120BTECH,Environmental Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/environmental-engineering-bachelor-of-technology-full-time-part-time-8120btech/
830ABHSC,Bachelor of Health Science (Magnetic Resonance Imaging Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/bachelor-of-health-science-magnetic-resonance-imaging-option-bachelor-of-health-science-part-time-830abhsc/
8310BTECH,Geographic Information Systems,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/geographic-information-systems-bachelor-of-technology-full-time-part-time-8310btech/
8350BTECH,Technology Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/technology-management-bachelor-of-technology-part-time-8350btech/
847ABTECH,Forensic Investigation (Crime and Intelligence Analysis Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-bachelor-of-technology-part-time-847abtech/
847BBTECH,Forensic Investigation (Forensic Science Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-bachelor-of-technology-part-time-847bbtech/
847CBTECH,Forensic Investigation (Digital Forensics and Cybersecurity Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-bachelor-of-technology-full-time-part-time-847cbtech/
8520BENVH,Environmental Public Health,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/environmental-public-health-bachelor-of-environmental-public-health-full-time-8520benvh/
8610BENG,Mining and Mineral Resource Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/mining-and-mineral-resource-engineering-bachelor-of-engineering-full-time-8610beng/
8630BACC,Accounting,conditional/restricted,Eligible; study permit required; optional work terms unavailable,True,https://www.bcit.ca/programs/accounting-bachelor-of-accounting-full-time-part-time-8630bacc/
8645BSC,Geomatics,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/geomatics-bachelor-of-science-full-time-8645bsc/
8650BSC,Radiation Therapy,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/radiation-therapy-bachelor-of-science-full-time-8650bsc/
8660BENG,Civil Engineering Bachelor of Engineering,unknown/not published,,,
867ABSC,Applied Computer Science (Games Development Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-computer-science-games-development-option-bachelor-of-science-full-time-867absc/
